transaction_id,user_id,transaction_date,amount,merchant_category,location,time_of_day,multiple_transactions,high_risk_merchant,unusual_location,device_type,payment_method,is_fraud
TXN00000028,USER3734,2024-04-11 08:28:45,57980.69,Travel,Madhya Pradesh,23,2,0,1,Mobile,Card,0
TXN00000029,USER4005,2024-03-11 00:19:45,32806.45,Entertainment,Rajasthan,19,3,0,0,Mobile,Wallet,0
TXN00000030,USER5658,2024-03-28 11:48:45,32265.16,Groceries,Uttarakhand,5,4,0,0,Desktop,UPI,0
TXN00000031,USER2899,2024-03-30 22:59:45,37959.11,Others,Odisha,4,4,0,0,Mobile,UPI,0
TXN00000032,USER8734,2024-11-16 08:29:45,61305.47,Groceries,Bihar,5,0,0,0,Mobile,UPI,0
TXN00000033,USER2267,2024-09-12 18:27:45,49073.98,Shopping,Kerala,14,4,0,0,Mobile,UPI,0
TXN00000034,USER2528,2023-12-29 04:52:45,65398.14,Fashion,Assam,10,4,0,0,Mobile,Card,0
TXN00000035,USER4556,2024-08-15 12:23:45,4027.46,Education,Meghalaya,23,1,0,0,Mobile,Wallet,0
TXN00000036,USER4890,2024-12-04 15:11:45,10677.57,Electronics,Andhra Pradesh,21,2,1,0,Mobile,Wallet,0
TXN00000037,USER9838,2024-05-13 06:25:45,97656.3,Food,Bihar,21,0,0,0,Mobile,UPI,0
TXN00000038,USER6393,2024-05-24 10:37:45,99539.01,Entertainment,Himachal Pradesh,17,4,0,0,Desktop,UPI,0
TXN00000039,USER9792,2024-08-14 12:40:45,74691.22,Others,Tamil Nadu,22,2,0,0,Mobile,Wallet,0
TXN00000040,USER9433,2024-12-26 01:19:45,25714.08,Groceries,Madhya Pradesh,18,0,1,0,Mobile,Wallet,0
TXN00000041,USER8513,2024-01-02 04:02:45,95342.84,Food,Sikkim,11,4,0,0,Tablet,Wallet,0
TXN00000042,USER3612,2024-06-02 01:54:45,21448.91,Others,Jharkhand,11,3,0,0,Desktop,UPI,0
TXN00000043,USER8041,2024-08-13 01:37:45,73169.99,Healthcare,Himachal Pradesh,6,1,0,0,Mobile,UPI,0
TXN00000044,USER7235,2024-12-15 20:47:45,11614.31,Groceries,Punjab,15,0,0,1,Mobile,Wallet,0
TXN00000045,USER6486,2024-01-31 01:03:45,64925.56,Education,Goa,11,3,0,0,Mobile,Wallet,0
TXN00000046,USER8099,2024-11-11 21:52:45,75975.55,Healthcare,Odisha,20,0,0,0,Mobile,Card,0
TXN00000047,USER1775,2024-07-01 16:00:45,85978.05,Fashion,Assam,3,0,0,0,Tablet,UPI,0
TXN00000048,USER9226,2024-08-24 20:01:45,73457.18,Shopping,Jharkhand,9,1,0,0,Mobile,UPI,0
TXN00000049,USER4152,2024-04-24 13:36:45,92356.19,Fashion,Jharkhand,16,3,0,0,Desktop,Wallet,0
TXN00000050,USER2585,2024-07-05 22:42:45,52140.23,Fashion,Telangana,14,4,0,0,Mobile,Card,0
TXN00000051,USER4943,2024-10-15 11:21:45,67775.12,Bills,Rajasthan,7,2,0,0,Mobile,Wallet,0
TXN00000052,USER8555,2024-03-11 11:32:45,37018.05,Groceries,Telangana,13,3,0,0,Mobile,UPI,0
TXN00000053,USER4073,2024-09-07 12:25:45,1137.91,Healthcare,Tripura,17,0,0,0,Mobile,UPI,0
TXN00000054,USER2021,2024-09-09 08:25:45,75693.63,Entertainment,Arunachal Pradesh,7,3,0,0,Mobile,UPI,0
TXN00000055,USER4843,2024-10-03 06:53:45,86999.08,Electronics,Madhya Pradesh,13,2,0,0,Mobile,Card,0
TXN00000056,USER8989,2024-02-07 15:47:45,17475.06,Shopping,Gujarat,22,3,0,0,Tablet,UPI,0
TXN00000057,USER7873,2024-01-08 06:56:45,2961.21,Travel,Delhi,15,2,0,0,Mobile,Card,0
TXN00000058,USER6675,2024-09-07 20:04:45,16533.73,Fashion,Madhya Pradesh,18,1,0,0,Mobile,UPI,0
TXN00000059,USER1161,2024-03-12 07:22:45,89539.4,Food,Maharashtra,6,0,0,0,Mobile,UPI,0
TXN00000060,USER5297,2024-07-13 03:43:45,29621.49,Food,West Bengal,16,4,1,0,Desktop,UPI,0
TXN00000061,USER1995,2024-06-21 15:53:45,23447.04,Shopping,Nagaland,4,3,1,0,Mobile,Card,0
TXN00000062,USER8629,2024-06-16 01:15:45,1557.52,Travel,Maharashtra,12,1,0,0,Mobile,Wallet,0
TXN00000063,USER2016,2024-02-20 21:34:45,29775.81,Fashion,Tamil Nadu,17,3,0,0,Mobile,UPI,0
TXN00000064,USER8869,2024-08-03 15:16:45,71592.34,Bills,Uttarakhand,17,1,0,0,Tablet,UPI,0
TXN00000065,USER7439,2024-12-17 20:16:45,95913.02,Groceries,Madhya Pradesh,18,2,1,0,Desktop,UPI,0
TXN00000066,USER8892,2024-05-23 17:03:45,31342.85,Education,Odisha,22,1,0,0,Desktop,UPI,0
TXN00000067,USER7863,2024-01-01 23:25:45,24144.46,Entertainment,Haryana,17,2,1,0,Mobile,UPI,0
TXN00000068,USER8916,2024-10-05 02:40:45,88818.1,Shopping,Bihar,19,1,0,0,Mobile,Wallet,0
TXN00000069,USER9529,2024-06-16 16:04:45,85265.23,Electronics,Himachal Pradesh,19,3,0,0,Tablet,Wallet,0
TXN00000070,USER1878,2024-09-12 18:22:45,32883.23,Travel,Kerala,16,4,0,0,Mobile,UPI,0
TXN00000071,USER5887,2024-03-27 14:56:45,6973.63,Education,Punjab,22,0,0,0,Mobile,Wallet,0
TXN00000072,USER5859,2024-07-26 04:44:45,99199.75,Entertainment,Arunachal Pradesh,3,4,0,0,Mobile,UPI,0
TXN00000073,USER7331,2024-05-02 08:15:45,68102.36,Others,Delhi,16,1,1,0,Mobile,Wallet,0
TXN00000074,USER9571,2024-01-21 22:41:45,92665.39,Travel,Bihar,18,2,0,0,Tablet,Wallet,0
TXN00000075,USER9684,2024-05-28 04:42:45,34253.26,Travel,Rajasthan,7,3,0,1,Mobile,Wallet,0
TXN00000076,USER8208,2024-08-04 11:51:45,64803.77,Entertainment,Telangana,19,0,0,0,Tablet,Wallet,0
TXN00000077,USER6276,2024-03-26 12:03:45,67482.27,Entertainment,Odisha,0,0,0,0,Mobile,UPI,0
TXN00000078,USER3062,2024-01-16 17:28:45,87303.26,Healthcare,Himachal Pradesh,6,3,0,0,Mobile,UPI,0
TXN00000079,USER1064,2024-08-26 02:57:45,99306.5,Food,Himachal Pradesh,7,1,1,0,Desktop,UPI,0
TXN00000080,USER9006,2024-09-08 10:58:45,10955.75,Education,Karnataka,4,0,0,0,Mobile,Wallet,0
TXN00000081,USER3568,2024-09-04 05:50:45,63148.57,Others,Jharkhand,8,3,0,0,Mobile,UPI,0
TXN00000082,USER6463,2024-10-06 17:50:45,33710.35,Food,Assam,6,1,1,0,Mobile,Card,0
TXN00000083,USER3027,2024-05-27 10:29:45,81184.68,Shopping,Haryana,3,3,0,0,Desktop,UPI,0
TXN00000084,USER3695,2024-04-13 16:13:45,75439.38,Education,Sikkim,21,0,1,1,Desktop,UPI,0
TXN00000085,USER6258,2024-08-30 10:11:45,89262.6,Entertainment,Karnataka,7,4,0,0,Desktop,UPI,0
TXN00000086,USER6618,2024-08-22 07:17:45,34435.92,Groceries,Goa,1,0,0,0,Desktop,UPI,0
TXN00000087,USER7736,2024-07-05 21:23:45,18534.58,Shopping,Nagaland,4,0,0,0,Mobile,Wallet,0
TXN00000088,USER1391,2024-02-12 11:38:45,2277.99,Travel,Haryana,2,4,0,0,Mobile,UPI,0
TXN00000089,USER6892,2024-10-17 21:21:45,25625.12,Healthcare,Tamil Nadu,4,1,0,0,Mobile,UPI,0
TXN00000090,USER4561,2024-12-12 03:14:45,36780.44,Healthcare,Arunachal Pradesh,23,3,0,0,Mobile,UPI,0
TXN00000091,USER7184,2024-01-06 01:47:45,94612.09,Others,Punjab,21,1,1,0,Mobile,Wallet,0
TXN00000092,USER4099,2024-08-18 21:40:45,49188.13,Education,Chhattisgarh,0,1,0,0,Mobile,UPI,0
TXN00000093,USER7278,2024-04-24 08:41:45,55688.31,Food,Tripura,6,3,0,0,Desktop,Wallet,0
TXN00000094,USER9392,2024-02-06 09:59:45,88024.86,Healthcare,Jharkhand,9,1,0,0,Tablet,UPI,0
TXN00000095,USER4104,2024-11-20 20:40:45,88518.44,Entertainment,Nagaland,15,2,0,0,Mobile,UPI,0
TXN00000096,USER8215,2024-02-14 10:18:45,52838.79,Groceries,Kerala,0,0,0,0,Desktop,UPI,0
TXN00000097,USER3454,2024-05-09 21:59:45,11458.98,Entertainment,West Bengal,16,2,0,0,Mobile,Wallet,0
TXN00000098,USER9996,2024-12-24 13:32:45,27124.56,Electronics,Tamil Nadu,3,3,0,0,Mobile,Wallet,0
TXN00000099,USER3731,2024-11-16 21:38:45,45743.13,Shopping,Rajasthan,15,4,0,0,Mobile,UPI,0
TXN00000100,USER9154,2024-05-05 12:42:45,75141.83,Shopping,Arunachal Pradesh,8,4,0,0,Desktop,UPI,0
TXN00000101,USER6056,2024-04-17 07:55:45,71197.01,Bills,Jharkhand,7,3,1,0,Mobile,UPI,0
TXN00000102,USER9110,2024-03-26 10:13:45,64306.55,Bills,Kerala,18,3,0,0,Mobile,UPI,0
TXN00000103,USER4840,2024-10-20 19:50:45,88036.53,Others,Odisha,21,1,0,0,Mobile,Wallet,0
TXN00000104,USER2028,2024-10-22 10:16:45,80284.38,Education,Chhattisgarh,16,0,0,0,Desktop,UPI,0
TXN00000105,USER8385,2024-11-23 00:57:45,98213.21,Healthcare,Jharkhand,9,2,1,0,Mobile,UPI,0
TXN00000106,USER1502,2024-08-01 17:32:45,88926.94,Others,Andhra Pradesh,16,3,0,0,Mobile,UPI,0
TXN00000107,USER7910,2024-09-19 00:16:45,19646.08,Travel,Gujarat,21,4,0,0,Mobile,UPI,0
TXN00000108,USER7938,2024-03-25 09:21:45,5855.89,Education,Andhra Pradesh,20,0,0,0,Mobile,UPI,0
TXN00000109,USER5488,2024-09-12 21:51:45,41509.64,Entertainment,Sikkim,15,0,0,0,Desktop,UPI,0
TXN00000110,USER1206,2024-03-09 15:27:45,61788.69,Travel,West Bengal,21,1,0,0,Mobile,UPI,0
TXN00000111,USER6134,2024-03-05 06:04:45,64346.04,Food,Sikkim,8,4,0,0,Mobile,UPI,0
TXN00000112,USER6977,2024-06-30 14:32:45,26824.52,Electronics,Mizoram,4,0,0,0,Mobile,UPI,0
TXN00000113,USER8721,2024-02-13 09:20:45,86002.11,Healthcare,Kerala,1,4,0,0,Mobile,UPI,0
TXN00000114,USER8035,2024-12-01 06:10:45,32991.72,Bills,Gujarat,13,2,0,0,Mobile,UPI,0
TXN00000115,USER2484,2024-09-28 04:12:45,91919.55,Electronics,Haryana,16,4,0,0,Mobile,Wallet,0
TXN00000116,USER8858,2024-02-10 21:10:45,47212.98,Travel,Assam,12,0,0,0,Mobile,Wallet,0
TXN00000117,USER1863,2024-05-23 04:11:45,1138.03,Groceries,Manipur,12,4,0,0,Desktop,Wallet,0
TXN00000118,USER3790,2024-10-19 07:21:45,16287.93,Education,Kerala,12,4,0,0,Mobile,UPI,0
TXN00000119,USER8408,2024-02-26 11:50:45,10321.69,Electronics,Uttar Pradesh,17,4,0,0,Tablet,UPI,0
TXN00000120,USER9755,2024-06-04 10:41:45,4498.18,Entertainment,Mizoram,23,0,0,0,Mobile,Card,0
TXN00000121,USER6116,2024-09-08 00:45:45,71430.33,Shopping,Arunachal Pradesh,0,2,0,0,Mobile,UPI,0
TXN00000122,USER7019,2024-01-16 21:23:45,19312.36,Education,Mizoram,21,4,0,0,Desktop,Wallet,0
TXN00000123,USER2757,2024-05-21 05:22:45,83878.12,Fashion,Tripura,20,2,0,0,Mobile,Wallet,0
TXN00000124,USER8574,2024-10-19 11:45:45,26520.44,Travel,Bihar,3,0,0,0,Desktop,Wallet,0
TXN00000125,USER7374,2024-08-18 01:59:45,3329.48,Groceries,Gujarat,20,3,0,0,Desktop,UPI,0
TXN00000126,USER7892,2024-09-30 16:32:45,82085.47,Entertainment,Manipur,4,4,0,0,Mobile,Wallet,0
TXN00000127,USER2678,2024-08-19 09:45:45,46667.97,Groceries,Rajasthan,10,2,1,0,Desktop,UPI,0
TXN00000128,USER4242,2024-09-20 00:31:45,59990.59,Travel,Tripura,1,4,0,0,Mobile,UPI,0
TXN00000129,USER5636,2024-06-30 04:12:45,33689.11,Healthcare,Meghalaya,1,1,1,0,Mobile,Wallet,0
TXN00000130,USER2059,2024-11-07 10:17:45,4699.44,Food,Tripura,15,1,0,0,Mobile,UPI,0
TXN00000131,USER7668,2024-05-24 17:33:45,37080.69,Bills,Goa,2,0,0,0,Desktop,UPI,0
TXN00000132,USER4157,2024-04-15 04:30:45,51876.81,Travel,Chhattisgarh,5,2,0,0,Mobile,UPI,0
TXN00000133,USER6915,2024-02-03 14:06:45,1267.49,Bills,Uttar Pradesh,19,2,0,0,Mobile,UPI,0
TXN00000134,USER3693,2024-04-08 08:46:45,57471.57,Travel,Meghalaya,3,4,0,0,Mobile,Wallet,0
TXN00000135,USER4627,2024-05-31 20:07:45,89314.91,Electronics,Andhra Pradesh,4,1,0,0,Mobile,UPI,0
TXN00000136,USER6450,2024-07-29 01:28:45,21862.27,Education,Manipur,20,4,0,0,Mobile,Wallet,0
TXN00000137,USER2663,2024-10-29 06:38:45,92684.24,Food,Punjab,6,4,0,0,Mobile,Card,0
TXN00000138,USER6592,2024-10-23 11:35:45,9851.09,Education,Chhattisgarh,6,0,1,0,Mobile,UPI,0
TXN00000139,USER8392,2024-09-13 09:49:45,82561.09,Education,Madhya Pradesh,16,3,1,0,Mobile,UPI,0
TXN00000140,USER2306,2024-07-13 15:41:45,84048.4,Fashion,Maharashtra,5,0,0,0,Mobile,UPI,0
TXN00000141,USER7776,2024-09-15 13:16:45,25850.21,Travel,Tripura,3,0,0,0,Mobile,UPI,0
TXN00000142,USER6864,2024-12-20 11:02:45,95788.56,Fashion,Arunachal Pradesh,1,0,0,0,Mobile,UPI,0
TXN00000143,USER8526,2024-11-15 06:42:45,41718.21,Bills,Arunachal Pradesh,5,4,0,0,Desktop,UPI,0
TXN00000144,USER9901,2024-06-01 12:52:45,14211.48,Food,Odisha,6,4,1,0,Mobile,UPI,0
TXN00000145,USER6575,2024-02-13 08:37:45,59212.27,Fashion,Odisha,1,4,0,0,Mobile,UPI,0
TXN00000146,USER6530,2024-07-26 16:33:45,99661.81,Groceries,Kerala,17,4,0,0,Mobile,UPI,0
TXN00000147,USER5413,2024-07-15 01:21:45,89939.23,Food,Tamil Nadu,9,1,0,0,Tablet,UPI,0
TXN00000148,USER4748,2024-10-18 06:21:45,27932.42,Entertainment,Mizoram,6,2,0,0,Mobile,Card,0
TXN00000149,USER1663,2024-06-11 10:25:45,57740.96,Travel,Arunachal Pradesh,8,1,0,0,Desktop,UPI,0
TXN00000150,USER2998,2024-08-12 08:21:45,11625.23,Shopping,Karnataka,18,2,0,1,Mobile,UPI,0
TXN00000151,USER8994,2024-05-29 04:51:45,46238.3,Education,Mizoram,18,4,0,0,Mobile,Wallet,0
TXN00000152,USER2495,2024-01-12 02:31:45,52354.7,Education,Maharashtra,23,1,0,0,Mobile,Wallet,0
TXN00000153,USER4304,2024-09-28 02:06:45,31596.3,Shopping,Himachal Pradesh,1,2,0,0,Mobile,Wallet,0
TXN00000154,USER4763,2024-01-04 03:39:45,48470.29,Groceries,Uttar Pradesh,22,3,1,0,Mobile,UPI,0
TXN00000155,USER6232,2024-12-24 02:05:45,92001.85,Shopping,Tripura,23,0,0,0,Mobile,UPI,0
TXN00000156,USER2853,2024-07-05 06:46:45,50063.75,Electronics,Delhi,11,2,0,0,Mobile,UPI,0
TXN00000157,USER7585,2024-04-13 23:00:45,83115.93,Shopping,Odisha,18,1,0,0,Mobile,UPI,0
TXN00000158,USER2291,2024-06-20 08:57:45,31807.3,Travel,West Bengal,5,1,0,0,Mobile,UPI,0
TXN00000159,USER4581,2024-08-12 09:06:45,97143.28,Electronics,Odisha,23,3,0,0,Mobile,UPI,0
TXN00000160,USER8554,2024-01-13 09:07:45,9436.98,Shopping,Andhra Pradesh,0,2,0,0,Mobile,Wallet,0
TXN00000161,USER8280,2024-01-07 05:05:45,58600.11,Food,Chhattisgarh,14,0,0,0,Desktop,Wallet,0
TXN00000162,USER2636,2024-05-12 14:03:45,79009.79,Entertainment,Odisha,21,1,0,0,Mobile,UPI,0
TXN00000163,USER4696,2024-02-22 05:39:45,81422.69,Healthcare,Arunachal Pradesh,18,4,0,1,Mobile,UPI,1
TXN00000164,USER1698,2024-11-09 16:21:45,19908.28,Education,Delhi,13,4,1,0,Mobile,Wallet,0
TXN00000165,USER5737,2024-11-29 09:59:45,40224.42,Shopping,Maharashtra,23,2,0,0,Desktop,UPI,0
TXN00000166,USER1854,2024-04-03 23:26:45,62457.2,Shopping,Odisha,12,3,1,0,Mobile,UPI,0
TXN00000167,USER9164,2024-12-12 20:22:45,31656.68,Bills,Telangana,4,0,0,0,Mobile,UPI,0
TXN00000168,USER6855,2024-03-02 19:23:45,65863.77,Education,Haryana,1,2,1,1,Desktop,Wallet,1
TXN00000169,USER8392,2024-02-20 18:54:45,37940.19,Shopping,Mizoram,14,2,0,0,Desktop,UPI,0
TXN00000170,USER7528,2024-11-26 09:15:45,35151.55,Travel,Arunachal Pradesh,15,0,0,0,Mobile,UPI,0
TXN00000171,USER6249,2024-12-03 04:28:45,10896.01,Groceries,Mizoram,6,1,0,0,Mobile,UPI,0
TXN00000172,USER6172,2024-10-30 05:00:45,4021.36,Shopping,Haryana,21,4,0,0,Mobile,Wallet,0
TXN00000173,USER2707,2024-02-18 05:54:45,83543.85,Travel,Maharashtra,5,1,0,0,Tablet,UPI,0
TXN00000174,USER6791,2024-06-01 18:45:45,49005.49,Shopping,Mizoram,16,3,0,0,Desktop,Wallet,0
TXN00000175,USER6535,2024-11-01 14:34:45,56331.03,Entertainment,Goa,0,0,0,0,Mobile,Card,0
TXN00000176,USER5931,2024-06-02 09:43:45,37284.88,Electronics,Uttar Pradesh,5,1,0,0,Desktop,UPI,0
TXN00000177,USER4510,2024-01-21 21:08:45,13760.53,Bills,Delhi,5,2,0,1,Mobile,UPI,0
TXN00000178,USER1202,2024-02-28 03:34:45,45012.24,Travel,Karnataka,3,2,0,0,Mobile,Wallet,0
TXN00000179,USER5218,2024-02-28 09:42:45,22972.81,Fashion,Haryana,7,3,0,1,Mobile,Wallet,0
TXN00000180,USER9958,2024-12-23 00:14:45,83784.54,Healthcare,Madhya Pradesh,8,3,0,0,Mobile,UPI,0
TXN00000181,USER5389,2024-03-24 06:15:45,98680.17,Groceries,Haryana,21,0,1,0,Mobile,UPI,0
TXN00000182,USER3327,2024-02-29 13:47:45,88920.7,Others,Gujarat,9,1,0,0,Mobile,Wallet,0
TXN00000183,USER9004,2024-07-21 07:35:45,52874.6,Electronics,Telangana,23,2,0,0,Tablet,UPI,0
TXN00000184,USER3931,2024-12-14 05:31:45,62850.36,Entertainment,Telangana,7,0,0,0,Desktop,UPI,0
TXN00000185,USER8777,2024-03-11 17:48:45,94817.44,Entertainment,Uttar Pradesh,1,0,0,0,Mobile,UPI,0
TXN00000186,USER1197,2024-05-28 04:12:45,53914.33,Electronics,Assam,19,2,0,0,Mobile,Wallet,0
TXN00000187,USER8125,2024-09-28 01:28:45,63895.05,Food,Arunachal Pradesh,16,1,1,0,Mobile,UPI,0
TXN00000188,USER2930,2024-04-19 16:03:45,62960.03,Fashion,Kerala,0,4,0,0,Mobile,UPI,0
TXN00000189,USER7287,2024-11-27 05:01:45,70841.3,Food,Bihar,13,3,0,0,Mobile,Wallet,0
TXN00000190,USER9800,2024-10-09 00:57:45,64064.48,Electronics,Chhattisgarh,21,1,0,0,Mobile,Wallet,0
TXN00000191,USER5282,2024-05-08 04:52:45,67103.47,Healthcare,Meghalaya,22,4,0,1,Desktop,Card,1
TXN00000192,USER3511,2024-08-18 22:02:45,72616.86,Bills,Arunachal Pradesh,4,4,0,0,Mobile,Wallet,0
TXN00000193,USER1659,2024-08-18 09:19:45,80929.01,Bills,Uttarakhand,23,2,0,0,Mobile,UPI,0
TXN00000194,USER3811,2024-11-28 06:43:45,40365.19,Electronics,Telangana,8,4,1,0,Tablet,Wallet,0
TXN00000195,USER8098,2024-12-24 20:43:45,74608.82,Fashion,Telangana,19,3,0,0,Mobile,UPI,0
TXN00000196,USER7546,2024-12-05 10:06:45,10110.36,Bills,Madhya Pradesh,16,0,0,0,Tablet,UPI,0
TXN00000197,USER2986,2024-10-17 09:55:45,87631.19,Electronics,West Bengal,5,1,1,0,Mobile,Card,0
TXN00000198,USER9338,2024-05-12 15:12:45,29075.43,Education,Bihar,0,3,0,0,Desktop,UPI,0
TXN00000199,USER3911,2024-06-03 18:37:45,40405.69,Groceries,West Bengal,17,4,0,0,Mobile,UPI,0
TXN00000200,USER2734,2024-10-24 17:10:45,80380.68,Bills,Chhattisgarh,10,0,0,0,Desktop,UPI,0
TXN00000201,USER2843,2024-03-02 11:25:45,63735.01,Bills,Uttarakhand,3,0,1,0,Mobile,UPI,0
TXN00000202,USER9680,2024-07-29 16:19:45,30931.94,Bills,Kerala,19,4,0,0,Desktop,UPI,0
TXN00000203,USER3976,2024-02-28 22:34:45,22617.37,Shopping,Manipur,5,3,0,0,Mobile,UPI,0
TXN00000204,USER2959,2024-01-20 11:11:45,95775.67,Others,Chhattisgarh,7,4,0,0,Desktop,UPI,0
TXN00000205,USER6759,2024-05-04 18:36:45,8868.86,Bills,Chhattisgarh,18,1,0,0,Mobile,UPI,0
TXN00000206,USER7694,2024-12-12 04:48:45,533.08,Travel,Meghalaya,14,0,0,0,Desktop,UPI,0
TXN00000207,USER3385,2024-01-07 06:04:45,67326.2,Groceries,Tripura,21,2,0,1,Desktop,Wallet,0
TXN00000208,USER5736,2024-05-03 20:43:45,61486.0,Electronics,Himachal Pradesh,18,0,0,0,Mobile,UPI,0
TXN00000209,USER2802,2024-12-22 20:39:45,73787.63,Travel,Manipur,1,4,0,0,Desktop,UPI,0
TXN00000210,USER9155,2024-03-08 20:26:45,73190.22,Shopping,Uttarakhand,3,4,0,0,Mobile,UPI,1
TXN00000211,USER9120,2024-09-12 18:34:45,86339.59,Education,Bihar,3,2,0,0,Mobile,Wallet,0
TXN00000212,USER7616,2024-07-13 20:29:45,92218.65,Electronics,Mizoram,11,2,0,0,Tablet,Wallet,0
TXN00000213,USER6534,2024-10-07 03:40:45,77524.96,Fashion,Telangana,17,0,0,0,Mobile,UPI,0
TXN00000214,USER5061,2024-12-16 08:51:45,23306.05,Entertainment,Uttarakhand,11,4,0,0,Desktop,UPI,0
TXN00000215,USER1262,2024-03-09 11:21:45,46403.27,Fashion,Andhra Pradesh,18,0,0,0,Mobile,Wallet,0
TXN00000216,USER7287,2024-10-11 08:27:45,64207.35,Bills,Meghalaya,14,3,0,0,Mobile,UPI,0
TXN00000217,USER9815,2024-09-17 22:51:45,53982.59,Travel,Tamil Nadu,9,4,0,0,Mobile,UPI,0
TXN00000218,USER3049,2024-03-03 15:15:45,15973.86,Education,West Bengal,6,0,0,0,Mobile,Wallet,0
TXN00000219,USER6423,2024-11-10 08:11:45,58968.38,Travel,Delhi,1,4,0,0,Mobile,Wallet,0
TXN00000220,USER5548,2024-06-02 15:08:45,88664.21,Entertainment,Punjab,12,4,0,0,Mobile,UPI,0
TXN00000221,USER4108,2024-12-18 09:54:45,41909.87,Fashion,Mizoram,15,1,0,0,Mobile,UPI,0
TXN00000222,USER8158,2024-09-03 16:15:45,66926.39,Healthcare,Bihar,20,0,0,0,Mobile,Wallet,0
TXN00000223,USER8400,2024-11-11 19:01:45,61631.84,Food,Tamil Nadu,7,4,0,0,Desktop,UPI,0
TXN00000224,USER4170,2024-11-05 13:16:45,37766.61,Shopping,Madhya Pradesh,0,2,0,0,Desktop,UPI,0
TXN00000225,USER3255,2024-11-14 23:51:45,56570.59,Entertainment,Haryana,16,2,0,0,Mobile,Wallet,0
TXN00000226,USER2154,2024-02-20 00:05:45,21100.18,Education,Nagaland,14,1,0,0,Desktop,UPI,0
TXN00000227,USER5499,2024-10-31 05:43:45,54656.12,Shopping,Madhya Pradesh,21,4,1,1,Desktop,UPI,1
TXN00000228,USER7295,2024-07-24 23:17:45,79903.08,Fashion,Himachal Pradesh,22,0,0,0,Mobile,UPI,0
TXN00000229,USER7197,2024-03-14 07:17:45,75918.88,Travel,Chhattisgarh,13,0,0,0,Mobile,UPI,0
